"","EVENT DATE","SourceFile","TotalRelease","TimeSec","ReleasePerMin","Temp","Pressure","Hour","mlpermin"
"56","13/05/25","bag3_12.txt",962,28,2061.42857142857,31.1035714285714,1023.63214285714,12,76.2728571428571
"57","13/05/25","bag3_14.txt",973,29,2013.10344827586,29.74,1023.7,14,74.4848275862069
"58","13/05/25","bag3_15.txt",877,19,2769.47368421053,23.495,1023.87,15,102.470526315789
"59","13/05/25","bag3_16.txt",770,12,3850,20.4833333333333,1023.9,16,142.45
"60","13/05/25","bag3_17.txt",956,21,2731.42857142857,18.7,1024.4,17,101.062857142857
"61","13/05/25","bag3_18.txt",953,21,2722.85714285714,18,1025.1,18,100.745714285714
"62","13/05/25","bag3_19.txt",995,23,2595.65217391304,17.6,1025.8,19,96.0391304347826
"63","13/05/25","bag3_20.txt",965,27,2144.44444444444,17.05,1026.5,20,79.3444444444444
"64","13/05/25","bag3_21.txt",935,27,2077.77777777778,16.1642857142857,1027.16428571429,21,76.8777777777778
"65","13/05/25","bag3_22.txt",937,23,2444.34782608696,15.1826086956522,1027.8,22,90.4408695652174
"66","13/05/25","bag3_9.txt",986,112,528.214285714286,25.0303571428571,1023.9,9,19.5439285714286
"67","25/05/25","bag1_10.txt",979,43,1366.04651162791,17.2477272727273,1041.24545454545,10,50.5437209302326
"68","25/05/25","bag1_11.txt",969,36,1615,19.3222222222222,1040.3,11,59.755
"69","25/05/25","bag1_13.txt",966,24,2415,26.9,1039.4,13,89.355
"70","25/05/25","bag1_14.txt",728,18,2426.66666666667,29.2444444444444,1038.6,14,89.7866666666667
"71","25/05/25","bag1_17.txt",735,49,900,24.402,1037.902,17,33.3
"72","25/05/25","bag2_11.txt",949,27,2108.88888888889,19.6107142857143,1040.3,11,78.0288888888889
"73","25/05/25","bag2_14.txt",957,16,3588.75,29.5470588235294,1038.52352941176,14,132.78375
"74","25/05/25","bag2_16.txt",962,36,1603.33333333333,21.4388888888889,1038,16,59.3233333333333
"75","25/05/25","bag2_20.txt",980,35,1680,14.2057142857143,1037.1,20,62.16
"76","25/05/25","bag3_10.txt",985,53,1115.09433962264,17.438,1041.31,10,41.2584905660377
"77","25/05/25","bag3_20.txt",949,35,1626.85714285714,14.3,1037.1,20,60.1937142857143
